/var/spool/slurmd/job2511452/slurm_script: line 10: /home/bhagavan/CS433/pinns/bin/activate: No such file or directory
Python binary: /usr/bin/python
Python version: Python 3.9.10

Lmod is automatically replacing "gcc/11.3.0" with "intel/2021.6.0".


Lmod is automatically replacing "intel/2021.6.0" with "nvhpc/23.3-mpi".

wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: sathvikbhagavan (sathvikbhagavan-epfl). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.7
wandb: Run data is saved locally in /home/bhagavan/CS-433/new/SteadyStateSplinePINNs/src/wandb/run-20250110_154822-k63ewncq
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run vague-voice-34
wandb: ⭐️ View project at https://wandb.ai/sathvikbhagavan-epfl/Spline-PINNs_with_heat_dp11
wandb: 🚀 View run at https://wandb.ai/sathvikbhagavan-epfl/Spline-PINNs_with_heat_dp11/runs/k63ewncq
Using device: cuda
Number of parameters in the model is: 1358120
Number of Outlet surface points: 10000, volume points: 96564, surface points: 195842
1/100
Number of Outlet surface points: 10000, volume points: 96463, surface points: 195807
Validation Divergence Loss: 0.1547413676293357, Validation X Momentum Loss: 577.3481508762504, Validation Y Momentum Loss: 583.2481477829255, Validation Z Momentum Loss: 716.4536874341412, Validation Outlet Boundary Loss: 0.006899809340779936, Validation Other Boundary Loss: 0.17161950899185285, Validation Heat Loss: 0.011371845640911968, Validation Surface Temperature Boundary Loss: 0.10763548752416571, Validation Total Loss: 1877.502254112444
Divergence Loss: 0.6894715752228018, X Momentum Loss: 404.05006005033243, Y Momentum Loss: 1050.0347472302024, Z Momentum Loss: 840.0626304368585, Inlet Boundary Loss: 2496.096612734717, Outlet Boundary Loss: 0.07512915504264205, Other Boundary Loss: 5.889285036545745, Heat Loss: 0.7019183128720994 Inlet Temperature Boundary Loss: 0.35858607052524216 Surface Temperature Boundary Loss: 0.17468733980305395 Total Loss: 3090.102536906579
Divergence Loss: 0.6306981045778637, X Momentum Loss: 306.08091398892674, Y Momentum Loss: 932.6412160919072, Z Momentum Loss: 701.5269992531064, Inlet Boundary Loss: 2456.2329471451553, Outlet Boundary Loss: 0.043589830344925466, Other Boundary Loss: 6.33234138684228, Heat Loss: 0.7244612183668941 Inlet Temperature Boundary Loss: 0.34791824670899785 Surface Temperature Boundary Loss: 0.19911901454038153 Total Loss: 2926.7377025618075
Divergence Loss: 0.5652897322065373, X Momentum Loss: 234.17035098073117, Y Momentum Loss: 806.879376137088, Z Momentum Loss: 565.7352139495001, Inlet Boundary Loss: 2392.3842917094976, Outlet Boundary Loss: 0.026973897768431055, Other Boundary Loss: 6.498312037649271, Heat Loss: 0.7341761791573994 Inlet Temperature Boundary Loss: 0.32097116888850113 Surface Temperature Boundary Loss: 0.21949916181333257 Total Loss: 2764.850173162268
Divergence Loss: 0.5456578931651727, X Momentum Loss: 204.7296039870737, Y Momentum Loss: 700.118960007468, Z Momentum Loss: 408.1981179664888, Inlet Boundary Loss: 2288.3803064081176, Outlet Boundary Loss: 0.022468293818363693, Other Boundary Loss: 6.673213985543032, Heat Loss: 0.8350823054351317 Inlet Temperature Boundary Loss: 0.31411541320379477 Surface Temperature Boundary Loss: 0.22871132065264285 Total Loss: 2605.0093833023557
Divergence Loss: 0.551836962405581, X Momentum Loss: 175.31193543127827, Y Momentum Loss: 597.2788807953028, Z Momentum Loss: 273.7457727228561, Inlet Boundary Loss: 2147.482921535569, Outlet Boundary Loss: 0.02523217272041749, Other Boundary Loss: 6.39297248202142, Heat Loss: 1.072517803908795 Inlet Temperature Boundary Loss: 0.3293367090184162 Surface Temperature Boundary Loss: 0.2446700766898989 Total Loss: 2410.9791820083606
Divergence Loss: 0.8429970097868381, X Momentum Loss: 182.74053099251313, Y Momentum Loss: 397.5991315107297, Z Momentum Loss: 165.89076880126237, Inlet Boundary Loss: 1812.4680576777098, Outlet Boundary Loss: 0.03961211757364627, Other Boundary Loss: 5.0409971400979146, Heat Loss: 1.7891415928174363 Inlet Temperature Boundary Loss: 0.4795771533758707 Surface Temperature Boundary Loss: 0.25912701682996603 Total Loss: 2052.6359382196174
Divergence Loss: 1.7333742710909175, X Momentum Loss: 211.55024171810427, Y Momentum Loss: 322.17277411316775, Z Momentum Loss: 107.46226267242618, Inlet Boundary Loss: 1442.332235462027, Outlet Boundary Loss: 0.026177461354034683, Other Boundary Loss: 3.1364646688121516, Heat Loss: 4.661324524116418 Inlet Temperature Boundary Loss: 1.0400200423201407 Surface Temperature Boundary Loss: 0.22461411581539328 Total Loss: 1698.1303310712754
Divergence Loss: 4.212398559173656, X Momentum Loss: 270.89562339362726, Y Momentum Loss: 162.49571320342005, Z Momentum Loss: 64.93249129677923, Inlet Boundary Loss: 932.2039241623334, Outlet Boundary Loss: 0.01221680551861649, Other Boundary Loss: 1.542577699805878, Heat Loss: 20.214968484438977 Inlet Temperature Boundary Loss: 2.8758960781983705 Surface Temperature Boundary Loss: 0.17213030416202416 Total Loss: 1228.9003040728562
Divergence Loss: 6.8051306254271315, X Momentum Loss: 129.81440196701203, Y Momentum Loss: 113.95681817087623, Z Momentum Loss: 60.73199957835561, Inlet Boundary Loss: 626.7239178043488, Outlet Boundary Loss: 0.006660638109618023, Other Boundary Loss: 0.9982857956022906, Heat Loss: 61.85070122749536 Inlet Temperature Boundary Loss: 5.860305848001165 Surface Temperature Boundary Loss: 0.16478580969819792 Total Loss: 781.7240957694459
Divergence Loss: 10.49368813813354, X Momentum Loss: 141.99655120947304, Y Momentum Loss: 135.8920468395675, Z Momentum Loss: 102.83761596473558, Inlet Boundary Loss: 429.6406615320376, Outlet Boundary Loss: 0.004520307454272606, Other Boundary Loss: 0.9910440556124491, Heat Loss: 100.53726930699979 Inlet Temperature Boundary Loss: 5.215108880801737 Surface Temperature Boundary Loss: 0.1581905092444597 Total Loss: 607.3925326000857
Divergence Loss: 11.559202823721607, X Momentum Loss: 63.494613001165604, Y Momentum Loss: 129.78072516079177, Z Momentum Loss: 110.4391540926918, Inlet Boundary Loss: 400.5191761597922, Outlet Boundary Loss: 0.004523919086223927, Other Boundary Loss: 1.0514038531412726, Heat Loss: 111.66801590122921 Inlet Temperature Boundary Loss: 5.318388031966958 Surface Temperature Boundary Loss: 0.1556478630541029 Total Loss: 501.1515784022748
Divergence Loss: 12.26058524768344, X Momentum Loss: 32.91149082510325, Y Momentum Loss: 116.11197672358233, Z Momentum Loss: 99.30454966589339, Inlet Boundary Loss: 382.0189135015086, Outlet Boundary Loss: 0.004394957255502174, Other Boundary Loss: 1.1395311098807115, Heat Loss: 106.82264032032461 Inlet Temperature Boundary Loss: 4.603578480282117 Surface Temperature Boundary Loss: 0.15734598404065875 Total Loss: 449.1124759611427
2/100
Number of Outlet surface points: 10000, volume points: 96545, surface points: 195797
Validation Divergence Loss: 16.2902990720182, Validation X Momentum Loss: 71.00587155068558, Validation Y Momentum Loss: 174.3564908363253, Validation Z Momentum Loss: 133.72972401627655, Validation Outlet Boundary Loss: 0.0018111241833051455, Validation Other Boundary Loss: 1.4475898350827725, Validation Heat Loss: 191.49578872473913, Validation Surface Temperature Boundary Loss: 0.16202160734466675, Validation Total Loss: 588.4895967666555
Divergence Loss: 11.682617309341982, X Momentum Loss: 36.037764649732196, Y Momentum Loss: 111.31902818040805, Z Momentum Loss: 103.61761467827203, Inlet Boundary Loss: 382.0189135015086, Outlet Boundary Loss: 0.004339690777287874, Other Boundary Loss: 1.2122779171810725, Heat Loss: 126.164918327229 Inlet Temperature Boundary Loss: 4.603578480282117 Surface Temperature Boundary Loss: 0.15736173369759382 Total Loss: 454.0744773432876
Divergence Loss: 11.805946093664152, X Momentum Loss: 24.24524118069585, Y Momentum Loss: 84.58598460671156, Z Momentum Loss: 75.77616173210964, Inlet Boundary Loss: 351.4317521696837, Outlet Boundary Loss: 0.003885506062966028, Other Boundary Loss: 1.4247496485879696, Heat Loss: 76.35147333567892 Inlet Temperature Boundary Loss: 2.8162062744916065 Surface Temperature Boundary Loss: 0.16236145451141018 Total Loss: 401.1157955246217
Divergence Loss: 11.680076670380858, X Momentum Loss: 29.571134738182607, Y Momentum Loss: 70.40957075311044, Z Momentum Loss: 62.55000340116415, Inlet Boundary Loss: 331.05852524448846, Outlet Boundary Loss: 0.003630218062620985, Other Boundary Loss: 1.605538175561526, Heat Loss: 45.78282840619801 Inlet Temperature Boundary Loss: 1.8605236560938572 Surface Temperature Boundary Loss: 0.1635352418998719 Total Loss: 380.1824123526281
Divergence Loss: 10.966576307588513, X Momentum Loss: 26.228661864047062, Y Momentum Loss: 48.89273549852187, Z Momentum Loss: 38.70551849216073, Inlet Boundary Loss: 286.74445551329666, Outlet Boundary Loss: 0.00329579021715176, Other Boundary Loss: 2.1367801322090236, Heat Loss: 9.862734207328629 Inlet Temperature Boundary Loss: 0.8353209688806633 Surface Temperature Boundary Loss: 0.16863344574875933 Total Loss: 324.28204696278306
Divergence Loss: 10.083134311407155, X Momentum Loss: 21.45083864885965, Y Momentum Loss: 21.606401976850762, Z Momentum Loss: 33.024986577114646, Inlet Boundary Loss: 239.1616041362589, Outlet Boundary Loss: 0.0029647288180906857, Other Boundary Loss: 4.434468046677766, Heat Loss: 17.361510626464526 Inlet Temperature Boundary Loss: 2.979193061407104 Surface Temperature Boundary Loss: 0.15976662666753047 Total Loss: 269.72147534466006
Divergence Loss: 8.787062471996698, X Momentum Loss: 15.267224060624175, Y Momentum Loss: 19.48933953375038, Z Momentum Loss: 30.176229278540863, Inlet Boundary Loss: 224.11829838362414, Outlet Boundary Loss: 0.002681296275737892, Other Boundary Loss: 5.874497796779726, Heat Loss: 18.822510837693173 Inlet Temperature Boundary Loss: 3.83724175177346 Surface Temperature Boundary Loss: 0.1585175899049931 Total Loss: 248.24299633083433
Divergence Loss: 9.089415756391205, X Momentum Loss: 13.588208551280815, Y Momentum Loss: 19.188658202204508, Z Momentum Loss: 28.92922366504491, Inlet Boundary Loss: 210.6776610141048, Outlet Boundary Loss: 0.0026003982617540493, Other Boundary Loss: 6.485186405737564, Heat Loss: 17.987668022781392 Inlet Temperature Boundary Loss: 3.9950312387259768 Surface Temperature Boundary Loss: 0.15583089989852553 Total Loss: 232.9894788341989
Divergence Loss: 8.860978376996943, X Momentum Loss: 10.907240042640668, Y Momentum Loss: 18.449521756469718, Z Momentum Loss: 24.968667714428584, Inlet Boundary Loss: 180.79523107848686, Outlet Boundary Loss: 0.0024338591296102392, Other Boundary Loss: 9.795216601558664, Heat Loss: 10.571585632432921 Inlet Temperature Boundary Loss: 3.6139372499735214 Surface Temperature Boundary Loss: 0.14808481887444971 Total Loss: 199.47679005910098
Divergence Loss: 8.855750228922538, X Momentum Loss: 8.377435596067807, Y Momentum Loss: 17.7026066494482, Z Momentum Loss: 21.747234606388236, Inlet Boundary Loss: 176.28980224793952, Outlet Boundary Loss: 0.0024021847211947705, Other Boundary Loss: 11.315611985273561, Heat Loss: 6.022894115492209 Inlet Temperature Boundary Loss: 2.6092082657899014 Surface Temperature Boundary Loss: 0.15039722160475125 Total Loss: 191.64320586921565
Divergence Loss: 8.082180216617841, X Momentum Loss: 7.541271036401906, Y Momentum Loss: 14.97381004171653, Z Momentum Loss: 18.400061323099127, Inlet Boundary Loss: 175.2678695449747, Outlet Boundary Loss: 0.0025032111792794728, Other Boundary Loss: 12.468232684604697, Heat Loss: 3.8650539277360467 Inlet Temperature Boundary Loss: 1.7541138404572736 Surface Temperature Boundary Loss: 0.1515156659041953 Total Loss: 188.9152517718219
Divergence Loss: 8.430218619774859, X Momentum Loss: 6.8303630134322635, Y Momentum Loss: 13.42040491194368, Z Momentum Loss: 17.155221766209404, Inlet Boundary Loss: 173.93124744194216, Outlet Boundary Loss: 0.0025421435084956746, Other Boundary Loss: 12.006037643496546, Heat Loss: 3.848352103392775 Inlet Temperature Boundary Loss: 1.5582617909848717 Surface Temperature Boundary Loss: 0.15527117247721786 Total Loss: 186.55898552578273
Divergence Loss: 8.52215740214998, X Momentum Loss: 6.540289516802231, Y Momentum Loss: 11.693624689637947, Z Momentum Loss: 15.942020344441543, Inlet Boundary Loss: 172.76325252095674, Outlet Boundary Loss: 0.002507502213561705, Other Boundary Loss: 11.853299030589666, Heat Loss: 4.175919742478275 Inlet Temperature Boundary Loss: 1.2714851876682152 Surface Temperature Boundary Loss: 0.1578159078061873 Total Loss: 184.80745933548312
Divergence Loss: 8.507217624249352, X Momentum Loss: 6.3909897939686875, Y Momentum Loss: 10.491300953953106, Z Momentum Loss: 15.518781712447442, Inlet Boundary Loss: 171.94926098170507, Outlet Boundary Loss: 0.0024377522707564746, Other Boundary Loss: 11.768596359892323, Heat Loss: 4.770119638296771 Inlet Temperature Boundary Loss: 1.0794992351251869 Surface Temperature Boundary Loss: 0.16088148923960596 Total Loss: 183.71492759253687
Divergence Loss: 8.4727011306171, X Momentum Loss: 5.4221095918117825, Y Momentum Loss: 9.341118521664555, Z Momentum Loss: 13.474540868380405, Inlet Boundary Loss: 170.32639947392195, Outlet Boundary Loss: 0.0019011454594838684, Other Boundary Loss: 11.612809924064114, Heat Loss: 5.688693004498094 Inlet Temperature Boundary Loss: 0.9693515510937476 Surface Temperature Boundary Loss: 0.16595237915154742 Total Loss: 180.87057305946303
Divergence Loss: 8.291978914704664, X Momentum Loss: 4.729960832772127, Y Momentum Loss: 8.713663295695408, Z Momentum Loss: 8.798043752610415, Inlet Boundary Loss: 168.17557037663607, Outlet Boundary Loss: 0.0009626609433247751, Other Boundary Loss: 11.14354998519619, Heat Loss: 5.784212271775394 Inlet Temperature Boundary Loss: 0.9380177937083667 Surface Temperature Boundary Loss: 0.17474810762715912 Total Loss: 177.44732218449872
Divergence Loss: 8.16199079582594, X Momentum Loss: 4.116516049506552, Y Momentum Loss: 7.8120522866960584, Z Momentum Loss: 7.3080420807055315, Inlet Boundary Loss: 166.90867388676585, Outlet Boundary Loss: 0.000553258517293938, Other Boundary Loss: 10.705123679315657, Heat Loss: 4.757327656978373 Inlet Temperature Boundary Loss: 0.9017917648141734 Surface Temperature Boundary Loss: 0.17821851042780384 Total Loss: 175.16809659898553
Divergence Loss: 8.387830399211374, X Momentum Loss: 3.4858564990721037, Y Momentum Loss: 5.670759722805597, Z Momentum Loss: 7.727693546143054, Inlet Boundary Loss: 165.40809532208874, Outlet Boundary Loss: 0.0004668013670893587, Other Boundary Loss: 9.64155384860022, Heat Loss: 2.8791729297148168 Inlet Temperature Boundary Loss: 0.8074373838786376 Surface Temperature Boundary Loss: 0.17920764002671 Total Loss: 172.58465092435964
Divergence Loss: 8.20264634703756, X Momentum Loss: 2.763268567507098, Y Momentum Loss: 4.316008981709808, Z Momentum Loss: 9.76705743690725, Inlet Boundary Loss: 164.45324665551436, Outlet Boundary Loss: 0.0006657235089135246, Other Boundary Loss: 8.461795809861199, Heat Loss: 1.7334662220734418 Inlet Temperature Boundary Loss: 0.8097327219315473 Surface Temperature Boundary Loss: 0.18733271852457423 Total Loss: 170.732985265849
Divergence Loss: 8.229042156539693, X Momentum Loss: 2.337748161700383, Y Momentum Loss: 3.7004711397125014, Z Momentum Loss: 9.865584561082379, Inlet Boundary Loss: 163.7794955375412, Outlet Boundary Loss: 0.0006806750359653539, Other Boundary Loss: 7.932353624550309, Heat Loss: 1.606939217995321 Inlet Temperature Boundary Loss: 0.8742447567965212 Surface Temperature Boundary Loss: 0.18781749042144935 Total Loss: 169.5259928028343
Divergence Loss: 8.183821132058862, X Momentum Loss: 1.95303989358551, Y Momentum Loss: 3.573323943199538, Z Momentum Loss: 8.809372903662746, Inlet Boundary Loss: 162.3664381272159, Outlet Boundary Loss: 0.0005102811126256221, Other Boundary Loss: 7.130762938662408, Heat Loss: 2.01338166511967 Inlet Temperature Boundary Loss: 0.9551733399599703 Surface Temperature Boundary Loss: 0.18720164813111573 Total Loss: 167.5733142893101
Divergence Loss: 8.28464760469381, X Momentum Loss: 1.7380220387450316, Y Momentum Loss: 3.9860028438054673, Z Momentum Loss: 7.064986767950178, Inlet Boundary Loss: 160.769104954941, Outlet Boundary Loss: 0.0002939765430566025, Other Boundary Loss: 6.647171918943226, Heat Loss: 2.5462096238415115 Inlet Temperature Boundary Loss: 0.9124187910761749 Surface Temperature Boundary Loss: 0.1861513079998067 Total Loss: 165.6374514543712
3/100
Number of Outlet surface points: 10000, volume points: 96503, surface points: 195843
Validation Divergence Loss: 4.8014543252802335, Validation X Momentum Loss: 4.423028045049223, Validation Y Momentum Loss: 6.435635901542818, Validation Z Momentum Loss: 9.237425641372079, Validation Outlet Boundary Loss: 0.0003063526479038092, Validation Other Boundary Loss: 1.8210101761021067, Validation Heat Loss: 0.6672686216801219, Validation Surface Temperature Boundary Loss: 0.14932117736952236, Validation Total Loss: 27.53545024104401
Divergence Loss: 9.079227150084956, X Momentum Loss: 1.7758417735826297, Y Momentum Loss: 4.009528214372021, Z Momentum Loss: 7.119167685855656, Inlet Boundary Loss: 160.769104954941, Outlet Boundary Loss: 0.0002919559570078044, Other Boundary Loss: 6.566110372426656, Heat Loss: 2.2686953514015125 Inlet Temperature Boundary Loss: 0.9124187910761749 Surface Temperature Boundary Loss: 0.18611638915921475 Total Loss: 165.72660706980025
Divergence Loss: 8.82817206923452, X Momentum Loss: 1.899274238693846, Y Momentum Loss: 4.8680477118773595, Z Momentum Loss: 6.207978951341568, Inlet Boundary Loss: 158.8544817739631, Outlet Boundary Loss: 0.00016046181708442292, Other Boundary Loss: 5.955944653465759, Heat Loss: 2.253133908820765 Inlet Temperature Boundary Loss: 0.6163449741732621 Surface Temperature Boundary Loss: 0.1865634310179222 Total Loss: 163.81329771674788
Divergence Loss: 8.757681473146047, X Momentum Loss: 1.8404266790912098, Y Momentum Loss: 4.944292620130544, Z Momentum Loss: 6.17323523374739, Inlet Boundary Loss: 157.29649813716279, Outlet Boundary Loss: 0.00013319803225173718, Other Boundary Loss: 5.887699107953437, Heat Loss: 2.12122474939714 Inlet Temperature Boundary Loss: 0.404574829751908 Surface Temperature Boundary Loss: 0.18524090373896587 Total Loss: 162.15104984120885
Divergence Loss: 8.613732690878313, X Momentum Loss: 1.5591957256941662, Y Momentum Loss: 4.480627819142683, Z Momentum Loss: 4.967260799423031, Inlet Boundary Loss: 154.8875687482272, Outlet Boundary Loss: 0.00018139827796716547, Other Boundary Loss: 5.698133426372428, Heat Loss: 2.80164813263707 Inlet Temperature Boundary Loss: 0.3319374548761133 Surface Temperature Boundary Loss: 0.1752908854204131 Total Loss: 159.31140753150257
Divergence Loss: 8.412999370038333, X Momentum Loss: 1.892233897870532, Y Momentum Loss: 4.60743349766948, Z Momentum Loss: 4.155059833817266, Inlet Boundary Loss: 153.59940885508738, Outlet Boundary Loss: 0.00018379087158366624, Other Boundary Loss: 5.205346193668617, Heat Loss: 3.510614698039264 Inlet Temperature Boundary Loss: 0.32990030895381106 Surface Temperature Boundary Loss: 0.15228632197481234 Total Loss: 158.26608284423853
Divergence Loss: 8.817127358350323, X Momentum Loss: 1.4690175445463662, Y Momentum Loss: 4.617173840892465, Z Momentum Loss: 3.698792443022508, Inlet Boundary Loss: 153.56121133573606, Outlet Boundary Loss: 0.0001744330418058578, Other Boundary Loss: 4.988005605823814, Heat Loss: 3.5369275823462245 Inlet Temperature Boundary Loss: 0.3421066924724188 Surface Temperature Boundary Loss: 0.15076077784818723 Total Loss: 157.78102045372555
Divergence Loss: 8.643947973988716, X Momentum Loss: 1.4351093648124098, Y Momentum Loss: 4.244935376271641, Z Momentum Loss: 3.5518269137999794, Inlet Boundary Loss: 153.25235388674565, Outlet Boundary Loss: 0.00014395445219873723, Other Boundary Loss: 4.959002992564426, Heat Loss: 3.234808796024834 Inlet Temperature Boundary Loss: 0.2903065814073577 Surface Temperature Boundary Loss: 0.14961204361744485 Total Loss: 157.3295725540264
Divergence Loss: 8.550806247579803, X Momentum Loss: 1.4142194546741982, Y Momentum Loss: 3.939677816470726, Z Momentum Loss: 3.380667414681191, Inlet Boundary Loss: 153.04562460131996, Outlet Boundary Loss: 0.00012052161954911461, Other Boundary Loss: 4.8462441370356535, Heat Loss: 2.926201669905858 Inlet Temperature Boundary Loss: 0.24984317206182027 Surface Temperature Boundary Loss: 0.14695084568334965 Total Loss: 156.99615099961298
Divergence Loss: 8.501966851338954, X Momentum Loss: 1.339483242788192, Y Momentum Loss: 3.87283030207837, Z Momentum Loss: 3.2402600450715275, Inlet Boundary Loss: 152.67742231292814, Outlet Boundary Loss: 0.00014862350136570052, Other Boundary Loss: 4.591767458403168, Heat Loss: 2.7420480813637464 Inlet Temperature Boundary Loss: 0.24813086620607538 Surface Temperature Boundary Loss: 0.14229109155943598 Total Loss: 156.4789118700721
Divergence Loss: 8.491143909656714, X Momentum Loss: 1.1802909044637186, Y Momentum Loss: 4.253359953483695, Z Momentum Loss: 3.272534033576547, Inlet Boundary Loss: 152.25812663193864, Outlet Boundary Loss: 0.00029158467021351474, Other Boundary Loss: 4.302941078827126, Heat Loss: 2.641725702112567 Inlet Temperature Boundary Loss: 0.33420079464212227 Surface Temperature Boundary Loss: 0.13968066987094507 Total Loss: 155.9077179119702
Divergence Loss: 8.562543286182425, X Momentum Loss: 1.116117696221164, Y Momentum Loss: 4.376967101251651, Z Momentum Loss: 3.1402115930752093, Inlet Boundary Loss: 151.88467368700552, Outlet Boundary Loss: 0.00036503238503207447, Other Boundary Loss: 3.960548432257744, Heat Loss: 2.539340030638267 Inlet Temperature Boundary Loss: 0.3336029510874553 Surface Temperature Boundary Loss: 0.13708279558923556 Total Loss: 155.42923202150368
